2025-02-15 16:51:55 install python3.7:i386 <none> 3.7.3-2+deb10u7
2025-02-15 16:51:55 status half-installed python3.7:i386 3.7.3-2+deb10u7
2025-02-15 16:51:55 status unpacked python3.7:i386 3.7.3-2+deb10u7
2025-02-15 16:51:55 install libpython3-stdlib:i386 <none> 3.7.3-1
2025-02-15 16:51:55 status half-installed libpython3-stdlib:i386 3.7.3-1
2025-02-15 16:51:55 status unpacked libpython3-stdlib:i386 3.7.3-1
2025-02-15 16:51:55 startup packages configure
2025-02-15 16:51:55 configure python3-minimal:i386 3.7.3-1 <none>
2025-02-15 16:51:55 status unpacked python3-minimal:i386 3.7.3-1
2025-02-15 16:51:55 status half-configured python3-minimal:i386 3.7.3-1
2025-02-15 16:51:55 status installed python3-minimal:i386 3.7.3-1
2025-02-15 16:51:55 startup archives unpack
2025-02-15 16:51:55 install python3:i386 <none> 3.7.3-1
2025-02-15 16:51:55 status half-installed python3:i386 3.7.3-1
2025-02-15 16:51:55 status unpacked python3:i386 3.7.3-1
2025-02-15 16:51:55 install netbase:all <none> 5.6
2025-02-15 16:51:55 status half-installed netbase:all 5.6
2025-02-15 16:51:55 status unpacked netbase:all 5.6
2025-02-15 16:51:55 install bzip2:i386 <none> 1.0.6-9.2~deb10u2
2025-02-15 16:51:55 status half-installed bzip2:i386 1.0.6-9.2~deb10u2
2025-02-15 16:51:55 status unpacked bzip2:i386 1.0.6-9.2~deb10u2
2025-02-15 16:51:55 install libapparmor1:i386 <none> 2.13.2-10
2025-02-15 16:51:55 status half-installed libapparmor1:i386 2.13.2-10
2025-02-15 16:51:55 status unpacked libapparmor1:i386 2.13.2-10
2025-02-15 16:51:55 install libdbus-1-3:i386 <none> 1.12.28-0+deb10u1
2025-02-15 16:51:55 status half-installed libdbus-1-3:i386 1.12.28-0+deb10u1
2025-02-15 16:51:55 status unpacked libdbus-1-3:i386 1.12.28-0+deb10u1
2025-02-15 16:51:55 install dbus:i386 <none> 1.12.28-0+deb10u1
2025-02-15 16:51:55 status half-installed dbus:i386 1.12.28-0+deb10u1
2025-02-15 16:51:55 status unpacked dbus:i386 1.12.28-0+deb10u1
2025-02-15 16:51:55 install libmagic-mgc:i386 <none> 1:5.35-4+deb10u2
2025-02-15 16:51:55 status half-installed libmagic-mgc:i386 1:5.35-4+deb10u2
2025-02-15 16:51:55 status unpacked libmagic-mgc:i386 1:5.35-4+deb10u2
2025-02-15 16:51:55 install libmagic1:i386 <none> 1:5.35-4+deb10u2
2025-02-15 16:51:55 status half-installed libmagic1:i386 1:5.35-4+deb10u2
2025-02-15 16:51:55 status unpacked libmagic1:i386 1:5.35-4+deb10u2
2025-02-15 16:51:55 install file:i386 <none> 1:5.35-4+deb10u2
2025-02-15 16:51:55 status half-installed file:i386 1:5.35-4+deb10u2
2025-02-15 16:51:55 status unpacked file:i386 1:5.35-4+deb10u2
2025-02-15 16:51:55 install libicu63:i386 <none> 63.1-6+deb10u3
2025-02-15 16:51:55 status half-installed libicu63:i386 63.1-6+deb10u3
2025-02-15 16:51:56 status unpacked libicu63:i386 63.1-6+deb10u3
2025-02-15 16:51:56 install libxml2:i386 <none> 2.9.4+dfsg1-7+deb10u6
2025-02-15 16:51:56 status half-installed libxml2:i386 2.9.4+dfsg1-7+deb10u6
2025-02-15 16:51:56 status unpacked libxml2:i386 2.9.4+dfsg1-7+deb10u6
2025-02-15 16:51:56 install manpages:all <none> 4.16-2
2025-02-15 16:51:56 status half-installed manpages:all 4.16-2
2025-02-15 16:51:56 status unpacked manpages:all 4.16-2
2025-02-15 16:51:56 install xz-utils:i386 <none> 5.2.4-1+deb10u1
2025-02-15 16:51:56 status half-installed xz-utils:i386 5.2.4-1+deb10u1
2025-02-15 16:51:56 status unpacked xz-utils:i386 5.2.4-1+deb10u1
2025-02-15 16:51:56 install binutils-common:i386 <none> 2.31.1-16
2025-02-15 16:51:56 status half-installed binutils-common:i386 2.31.1-16
2025-02-15 16:51:57 status unpacked binutils-common:i386 2.31.1-16
2025-02-15 16:51:57 install libbinutils:i386 <none> 2.31.1-16
2025-02-15 16:51:57 status half-installed libbinutils:i386 2.31.1-16
2025-02-15 16:51:57 status unpacked libbinutils:i386 2.31.1-16
2025-02-15 16:51:57 install binutils-i686-linux-gnu:i386 <none> 2.31.1-16
2025-02-15 16:51:57 status half-installed binutils-i686-linux-gnu:i386 2.31.1-16
2025-02-15 16:51:57 status unpacked binutils-i686-linux-gnu:i386 2.31.1-16
2025-02-15 16:51:57 install binutils:i386 <none> 2.31.1-16
2025-02-15 16:51:57 status half-installed binutils:i386 2.31.1-16
2025-02-15 16:51:57 status unpacked binutils:i386 2.31.1-16
2025-02-15 16:51:57 install libc-dev-bin:i386 <none> 2.28-10+deb10u4
2025-02-15 16:51:57 status half-installed libc-dev-bin:i386 2.28-10+deb10u4
2025-02-15 16:51:57 status unpacked libc-dev-bin:i386 2.28-10+deb10u4
2025-02-15 16:51:57 install linux-libc-dev:i386 <none> 4.19.316-1
2025-02-15 16:51:57 status half-installed linux-libc-dev:i386 4.19.316-1
2025-02-15 16:51:57 status unpacked linux-libc-dev:i386 4.19.316-1
2025-02-15 16:51:57 install libc6-dev:i386 <none> 2.28-10+deb10u4
2025-02-15 16:51:57 status half-installed libc6-dev:i386 2.28-10+deb10u4
2025-02-15 16:51:58 status unpacked libc6-dev:i386 2.28-10+deb10u4
2025-02-15 16:51:58 install libisl19:i386 <none> 0.20-2
2025-02-15 16:51:58 status half-installed libisl19:i386 0.20-2
2025-02-15 16:51:58 status unpacked libisl19:i386 0.20-2
2025-02-15 16:51:58 install libmpfr6:i386 <none> 4.0.2-1
2025-02-15 16:51:58 status half-installed libmpfr6:i386 4.0.2-1
2025-02-15 16:51:58 status unpacked libmpfr6:i386 4.0.2-1
2025-02-15 16:51:58 install libmpc3:i386 <none> 1.1.0-1
2025-02-15 16:51:58 status half-installed libmpc3:i386 1.1.0-1
2025-02-15 16:51:58 status unpacked libmpc3:i386 1.1.0-1
2025-02-15 16:51:58 install cpp-8:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed cpp-8:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked cpp-8:i386 8.3.0-6
2025-02-15 16:51:58 install cpp:i386 <none> 4:8.3.0-1
2025-02-15 16:51:58 status half-installed cpp:i386 4:8.3.0-1
2025-02-15 16:51:58 status unpacked cpp:i386 4:8.3.0-1
2025-02-15 16:51:58 install libcc1-0:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libcc1-0:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libcc1-0:i386 8.3.0-6
2025-02-15 16:51:58 install libgomp1:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libgomp1:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libgomp1:i386 8.3.0-6
2025-02-15 16:51:58 install libitm1:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libitm1:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libitm1:i386 8.3.0-6
2025-02-15 16:51:58 install libatomic1:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libatomic1:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libatomic1:i386 8.3.0-6
2025-02-15 16:51:58 install libasan5:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libasan5:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libasan5:i386 8.3.0-6
